ROCO_81826	 Model bone showing the extent of graft insertion
ROCO_82551	 BF-TEM micrograph of a ripple showing a special feature: amorphous silicon appears in a hollow at its top
ROCO_82552	 The osImageManager application. Screenshot of the osImageManager application, showing the treeview control and DICOM viewing window.
ROCO_82554	 Fabricated horizontal banner advertisement for “Orchid Thai” in the mutual gaze condition.
ROCO_82556	 Treatment planning system.
ROCO_82558	 Clinical photogragh shows the figure of N-plasty on the iliotibial band.GT: greater trochanter.
ROCO_82559	 Pre-operative arthroscopic view of the right TMJ from an ANKH-OR homozygote (Genotype 2/2) with closed lock.The white strip at the right portion of the view indicated fibrous tissues adhering the joint (arrow).
ROCO_82560	 Resection of a sessile serrated adenomas/polyps with dye of submucosal layer with indigo carmine - no residual lesion.
ROCO_82561	 The lateral ankle after repair of the superior peroneal retinaculum
ROCO_82562	 Three dimensional reconstruction
ROCO_82563	  Determination of the occlusal plane and median raphe (upper jaw).
ROCO_82564	 Linear measurements obtained from the reference anatomic points
ROCO_82565	 Specimens mounted in the specimen holder
ROCO_82567	 Complete excision of the paraurethral cyst.
ROCO_82569	 Coronal section showing activations found in a meta-analysis of 21 studies of brain responses of heterosexual men to sexual stimuli (unpublished figure from study by Stoléru et al., 2012). Section is located 14 mm rostral to anterior commissure. a: anterior cingulate gyrus; b: claustro-insular cluster; c: claustrum; d: insula; e: caudate nucleus; f: inferior frontal gyrus. Right is to the right.
ROCO_82570	 Spigelian defect after reduction of contents. (A) Inferior epigastric vessels, (B) defect visualized above the inferior epigastric vessels, (C) Sigmoid colon.
ROCO_82571	 Co-TMAH nanorods obtained at 50 °C. (a) High-resolution image of a small section from inset (a1) shows a lattice spacing of 0.20 nm, the surface is perpendicular to the (002) hcp plane and the rod is polycrystalline; (b) X-ray diffraction spectrum of cobalt-TMAH-rods taken after 45 min. The larger intensity of the (002) reflection is in agreement with the lattice fringe spacing obtained along the length of the rods.
ROCO_82572	 Schematic depiction of the fracture’s course.
ROCO_82573	 An elliptical shadow created by the ring can be seen in this bone model of a frame, indicating an oblique alignment
ROCO_82574	 Apical 4-chamber view demonstrating dextrocardia with right atrium connected to left ventricle and left atrium connected to right ventricle indicated by the presence of moderator band in the right ventricle and apically placed tricuspid valve.Abbreviations: MRV, morphologic right ventricle; MLV, morphologic left ventricle; RA, right atrium; LA, left atrium; VSD, ventricular septal defect.
ROCO_82575	 Contralateral corporotomy.
ROCO_82576	 Illustration of the geometry and configuration of the transducers in the HIFU machine.
ROCO_82577	 Speculative skeletal reconstructions of Hatzegopteryx sp. and Arambourgiania philadelphiae (estimated wingspans ≥10 m—Frey & Martill, 1996; Buffetaut, Grigorescu & Csiki, 2003) to show discrepancy in neck length alongside a ‘typical’ azhdarchid body plan.(A) Hatzegopteryx skeleton in lateral aspect; (B) dorsal view of EME 315 and FGGUB R1083 jaw elements, proportionate to actual size, suggesting Hatzegopteryx bore a wide, as well as relatively short, neck construction (soft-tissue outline in black). Jaw width after Buffetaut, Grigorescu & Csiki (2003); (C) reconstructed Arambourgiania philadelphiae cervicals III–VII in lateral aspect; (D) 4.6 m wingspan Q. sp. skeleton in lateral aspect; (E) Q. sp. cervical vertebrae III–V and skull in dorsal view; Note how the neck length of Hatzegopteryx is similar to this much smaller pterosaur. H. thambema holotype (FGGUB R1083) and undescribed referred elements are shown in (A); known elements of A. philadelphiae (UJA JF1) indicated in white shading in (C). Scale bar represents 1 m.
ROCO_82579	 Photograph of Max Jaffe (1841–1911).
ROCO_82580	 Double-bundle ACL reconstruction. The introduction of anteromedial bundle.
ROCO_82581	 Three-point bend test rig with a cartilage-on-bone specimen in the starting test position
ROCO_82584	 The double-capsule cast: a long-leg cast placed from above the knee down to the toes. The cast could be easily removed during physiotherapy for knee mobilization and has to replaced afterwards
ROCO_82585	 A commercially available immunochromatographic antigen test kit (ImmunoRun® Antigen Detection Kit-BioGal-Labs, Israel) specifically used for the detection of Giardia duodenalis antigen from fecal samples.
ROCO_82586	 The teeth with mild flourosis and intact crown (Thylstrup and Fejerskov Index score-2) selected for the study.
ROCO_82587	 Preoperative planning shows that the medial anterior pin (blue line marked and red arrow) cannot be drilled into bone in a stable way.
ROCO_82588	 B-scan ultrasound of the involved eye. B-scan ultrasound showing flat-surfaced, elevated choroidal lesion with moderate internal reflectivity.
ROCO_82589	 Schematic patient setup for transperineal ultrasound
ROCO_82590	 Reference frame: ROI selection.
ROCO_82591	 The actin-related protein (Arp) 2/3 complex provides a template for new actin filaments to branch off from a mother filament
ROCO_82592	 Self-retaining Kirschner wire (K-wire) distractor (courtesy of My medibook GmbH, Berg, Germany)
ROCO_82593	 Colonoscopy on the fifth postoperative day. Colonoscopy demonstrated a colonic wall covered by thick pseudomembranes.
ROCO_82594	 Two 4F catheters were introduced via a 9F femoral sheath. Note a short guidewire (arrow) to reduce bleeding in between two catheters at the diaphram of femoral sheath.
ROCO_82596	 Result of the sample pupil region detection.
ROCO_82597	 Example of a medallion designed by Josiah Wedgwood, circa 1787, to raise public awareness of the suffering brought about by the slave trade.Image used by permission of http://thepotteries.org.
ROCO_82599	 Deleting CEP215 compromises the connection between centrosomes and spindle poles and impairs centrosome clustering in cells with excess centrosomes. Microtubules are in green, and centrioles in red. Scale bar, 5 µm.IMAGE COURTESY OF PAVITHRA L. CHAVALI
ROCO_82600	 Linking smellperception and neural activity in the bee (Image: Axel Brockmann)
ROCO_82601	 Prof. Shin Kusakawa.
ROCO_82602	 Two slots for transducer attachment at the medial side (1M, 2M) of the stump cast.
ROCO_82603	 Laparoscopic view of the mesenteric cyst. Note its extremely thin wall through which the contained fluid can be seen.
ROCO_82604	 Wrap around in a cine SSFP sequence: Chest wall (located outside the field of view) is projecting onto the left ventricle (red arrows).
ROCO_82605	 Early asymptomatic tendinosis. Transverse real-time sonoelastography shows the distal Achilles tendon (long arrows) in an asymptomatic geriatric patient; there are predominant green areas with small patches of red (small arrows)
ROCO_82606	 Study casts with standardized cuts proportional to the dental-alveolar areas
ROCO_82608	  Vertebra images in sagittal plane.
ROCO_82609	 Intraoperative fundus photograph of the left eye showing proliferative retinopathy with extensive tractional retinal detachment (white arrow) involving the posterior pole. Red arrow shows the position of the optic nerve head
ROCO_82610	 Lenticule creation in SMILE technique
ROCO_82611	 Bronchoscopic appearance of thread aspiration.
ROCO_82613	 Comparison of the clinched joints with forming forces of 50 kN and 60 kN.
ROCO_82616	 Heterozygous zygotic combination berA1.2. The designations are the same as in Fig. 2.
ROCO_82617	 Ovipositor
ROCO_82620	 Experiment environment based on three-axis turntable.
ROCO_82621	 Clinical signs caused by P1 infection were usually visible as tan-to-purple inguinal lymph nodes.
ROCO_82622	 A series of self-promoting vicious cycles triggered by Aβ/CaSR signaling mediates the oversecretion of endogenously produced Aβ42 oligomers from ever increasing numbers of human cortical neurons and astrocytes and of NO and VEGF-A from the latter.Such neurotoxins drive the slow yet progressive dissemination of LOAD neuropathology to cognition-related areas of the cerebral cortex. These harmful effects concurrently causing the death of increasing numbers of cortical neurons are utterly suppressed by allosteric CaSR antagonist NPS 2143.Therefore, calcilytics could halt LOAD progression (Dal Prà et al., 2014a, b, c). Sol: Soluble; fibr: fibrillar; Aβ: amyloid-β peptide; CaSR: calcium-sensing receptor; VEGF: vascular endothelial growth factor; NO: nitric oxide: p-Tau: hyperphosphorylated Tau protein; oligos: oligomers.
ROCO_82623	 Mid esophageal four chamber view showing pseudoaneurysm
ROCO_82624	 Electron image of the surface 1.3 seconds after the start voltage has been switched from 1 to 5 eV.
ROCO_82625	 The X-axis reorientation method. The X-axis was adjusted so that it was parallel to the mean inclinations (C) of line A (the line connecting the bilateral contact points of the first and second premolars) and line B (the line connecting the bilateral contact points of the second premolars and first molars).
ROCO_82627	 Human placental hemochorial placentation. While hCG and hyperglycosylated hCG force villous trophoblast tissue formation [13-17], hCG promotes the development and growth of uterine spiral arteries [19-26]. Angiogenesis forces the protrusion of arteries to reach invading villous trophoblast tissue [19-26]. hCG also promotes the formation of the umbilical circulation in villous tissue and the formation of the umbilical cord [27-32]. All linked together, villous trophoblast tissue, maternal spiral artery blood and fetal umbilical circulation and you have hemochorial placentation, efficient fetal nutrient exchange, as illustrated. In hemochorial placentation, spiral artery bring maternal blood into one of 4-7 hemochorial placentation chambers. Blood fills the chamber, nutrients (oxygen/glucse/amino acids) them pass across syncytiotrophoblast cells into villous side-arms or floating villi. They are then rapidly absorbed by the umbilical circulation.
